dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,BradyRig_Total_r,BradyRig_Total_r2,BradyRig_Total_p,BradyRig_Total_sig,Tremor_Total_r,Tremor_Total_r2,Tremor_Total_p,Tremor_Total_sig,AI_BradyRig_Diff_r,AI_BradyRig_Diff_r2,AI_BradyRig_Diff_p,AI_BradyRig_Diff_sig,AI_Tremor_Diff_r,AI_Tremor_Diff_r2,AI_Tremor_Diff_p,AI_Tremor_Diff_sig,AI_BradyRig_Norm_r,AI_BradyRig_Norm_r2,AI_BradyRig_Norm_p,AI_BradyRig_Norm_sig,AI_Tremor_Norm_r,AI_Tremor_Norm_r2,AI_Tremor_Norm_p,AI_Tremor_Norm_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_2,0.1173,0.0138,0.0,True,0.0407,0.0017,0.04196,False,-0.0546,0.003,0.003329,False,0.0584,0.0034,0.00351,False,0.0113,0.0001,0.57352,False,0.0414,0.0017,0.038462,False,0.0679,0.0046,0.000681,True,0.0756,0.0057,0.000156,True,0.0615,0.0038,0.002085,False,0.0745,0.0055,0.000194,True,0.0044,0.000237,True,0.0003,0.600231,False,0.0032,0.032358,False
latent_3,-0.1041,0.0108,0.0,True,-0.144,0.0207,0.0,True,0.041,0.0017,0.027795,False,-0.0049,0.0,0.805822,False,-0.0966,0.0093,1e-06,True,-0.1318,0.0174,0.0,True,0.063,0.004,0.001626,False,0.0325,0.0011,0.104411,False,0.0571,0.0033,0.004323,False,0.0392,0.0015,0.050121,False,0.0264,0.0,True,0.0011,0.197831,False,0.0254,0.0,True
latent_7,-0.0926,0.0086,0.0,True,-0.0258,0.0007,0.197705,False,0.0479,0.0023,0.010129,False,-0.2637,0.0695,0.0,True,-0.0036,0.0,0.858652,False,-0.0605,0.0037,0.002496,False,-0.2829,0.08,0.0,True,-0.2662,0.0708,0.0,True,-0.2677,0.0717,0.0,True,-0.2729,0.0745,0.0,True,0.0267,0.0,True,0.0009,0.255578,False,0.0047,0.004691,False
latent_8,0.1017,0.0103,0.0,True,0.1486,0.0221,0.0,True,-0.0799,0.0064,1.7e-05,True,0.0168,0.0003,0.401632,False,0.1309,0.0171,0.0,True,0.0863,0.0074,1.6e-05,True,0.0004,0.0,0.986036,False,-0.0008,0.0,0.966519,False,0.0121,0.0001,0.544105,False,-0.0009,0.0,0.964203,False,0.0,0.99396,False,0.0042,0.001626,False,0.0231,0.0,True
latent_10,-0.074,0.0055,3.9e-05,True,-0.138,0.019,0.0,True,0.0577,0.0033,0.001929,False,0.0496,0.0025,0.013075,False,-0.1131,0.0128,0.0,True,-0.0713,0.0051,0.000358,True,0.0649,0.0042,0.001166,False,0.0426,0.0018,0.033337,False,0.0649,0.0042,0.001175,False,0.0473,0.0022,0.017953,False,0.0021,0.011201,False,0.0034,0.005014,False,0.026,0.0,True
latent_14,-0.1005,0.0101,0.0,True,0.008,0.0001,0.689587,False,0.0709,0.005,0.000137,True,-0.026,0.0007,0.19308,False,0.0232,0.0005,0.246419,False,-0.0334,0.0011,0.094815,False,-0.0173,0.0003,0.388597,False,-0.0313,0.001,0.117837,False,-0.0163,0.0003,0.414579,False,-0.0142,0.0002,0.477336,False,0.0019,0.014446,False,0.0002,0.783077,False,0.0064,0.000253,True
latent_15,-0.2459,0.0605,0.0,True,0.1486,0.0221,0.0,True,0.0666,0.0044,0.000342,True,0.1835,0.0337,0.0,True,0.1521,0.0231,0.0,True,0.0387,0.0015,0.052949,False,0.2307,0.0532,0.0,True,0.1918,0.0368,0.0,True,0.1855,0.0344,0.0,True,0.2078,0.0432,0.0,True,0.0027,0.003885,False,0.0013,0.125828,False,0.0549,0.0,True
latent_20,-0.0131,0.0002,0.467129,False,-0.0765,0.0059,0.000129,True,-0.0387,0.0015,0.037438,False,-0.0338,0.0011,0.09095,False,-0.0685,0.0047,0.000614,True,-0.0601,0.0036,0.002656,False,-0.0038,0.0,0.848223,False,-0.0223,0.0005,0.264708,False,-0.0209,0.0004,0.2964,False,-0.0184,0.0003,0.357972,False,0.0001,0.512807,False,0.0013,0.126986,False,0.0143,0.0,True
latent_26,0.0196,0.0004,0.276804,False,0.0052,0.0,0.796807,False,0.0122,0.0001,0.511265,False,-0.1097,0.012,0.0,True,0.0149,0.0002,0.4568,False,0.0017,0.0,0.931216,False,-0.1359,0.0185,0.0,True,-0.1388,0.0193,0.0,True,-0.1286,0.0165,0.0,True,-0.1301,0.0169,0.0,True,0.0007,0.142651,False,0.0011,0.197284,False,0.0027,0.065979,False
latent_31,0.0398,0.0016,0.027357,False,0.1026,0.0105,0.0,True,-0.0191,0.0004,0.305054,False,0.1439,0.0207,0.0,True,0.0954,0.0091,2e-06,True,0.0396,0.0016,0.047669,False,0.1825,0.0333,0.0,True,0.1585,0.0251,0.0,True,0.1357,0.0184,0.0,True,0.166,0.0276,0.0,True,0.0026,0.004395,False,0.0011,0.185377,False,0.0138,0.0,True
