dimension,SBR_XING_PC1_r,SBR_XING_PC1_r2,SBR_XING_PC1_p,SBR_XING_PC1_sig,SBR_XING_PC2_r,SBR_XING_PC2_r2,SBR_XING_PC2_p,SBR_XING_PC2_sig,SBR_XING_PC3_r,SBR_XING_PC3_r2,SBR_XING_PC3_p,SBR_XING_PC3_sig
latent_0,-0.0809,0.0065,0.000184,True,0.0082,0.0001,0.70557,False,-0.0002,0.0,0.992164,False
latent_2,-0.03,0.0009,0.165143,False,-0.2025,0.041,0.0,True,-0.1481,0.0219,0.0,True
latent_3,0.0061,0.0,0.778456,False,-0.0571,0.0033,0.008321,False,-0.3637,0.1323,0.0,True
latent_4,0.0204,0.0004,0.347005,False,0.0945,0.0089,1.2e-05,True,0.0282,0.0008,0.193151,False
latent_7,-0.1804,0.0325,0.0,True,0.1914,0.0366,0.0,True,0.283,0.0801,0.0,True
latent_8,-0.1033,0.0107,2e-06,True,0.0804,0.0065,0.0002,True,0.0252,0.0006,0.243886,False
latent_10,0.1304,0.017,0.0,True,-0.0645,0.0042,0.002866,False,-0.1285,0.0165,0.0,True
latent_11,-0.0009,0.0,0.968685,False,-0.0412,0.0017,0.056778,False,-0.1999,0.0399,0.0,True
latent_14,-0.0389,0.0015,0.072275,False,0.0605,0.0037,0.005164,False,-0.0041,0.0,0.851442,False
latent_15,-0.2916,0.085,0.0,True,0.381,0.1452,0.0,True,-0.1748,0.0306,0.0,True
latent_17,-0.0008,0.0,0.969587,False,0.0744,0.0055,0.000577,False,-0.07,0.0049,0.001208,False
latent_18,0.0497,0.0025,0.021524,False,0.0858,0.0074,7.2e-05,True,0.0833,0.0069,0.000117,True
latent_19,0.0389,0.0015,0.07223,False,-0.0568,0.0032,0.008684,False,0.0766,0.0059,0.000399,True
latent_20,-0.0591,0.0035,0.006347,False,-0.1306,0.017,0.0,True,-0.3922,0.1538,0.0,True
latent_26,-0.1033,0.0107,2e-06,True,-0.1106,0.0122,0.0,True,0.2415,0.0583,0.0,True
latent_29,0.0469,0.0022,0.030284,False,0.0176,0.0003,0.417376,False,-0.0194,0.0004,0.37042,False
latent_31,-0.0383,0.0015,0.076785,False,-0.1305,0.017,0.0,True,-0.1052,0.0111,1e-06,True
latent_34,-0.0046,0.0,0.832706,False,0.0169,0.0003,0.434387,False,0.0691,0.0048,0.00141,False
latent_35,0.0378,0.0014,0.081115,False,-0.0122,0.0001,0.57292,False,-0.011,0.0001,0.610916,False
latent_38,0.0218,0.0005,0.315055,False,0.0122,0.0001,0.5732,False,0.0109,0.0001,0.614724,False
latent_41,0.0438,0.0019,0.043068,False,-0.1053,0.0111,1e-06,True,-0.3023,0.0914,0.0,True
latent_47,-0.0259,0.0007,0.231122,False,-0.0096,0.0001,0.656691,False,-0.0977,0.0095,6e-06,True
latent_48,-0.0059,0.0,0.784418,False,0.1964,0.0386,0.0,True,-0.0985,0.0097,5e-06,True
latent_51,0.0571,0.0033,0.008274,False,0.092,0.0085,2.1e-05,True,-0.0281,0.0008,0.194499,False
latent_52,-0.1523,0.0232,0.0,True,0.2028,0.0411,0.0,True,-0.0241,0.0006,0.264857,False
latent_55,0.1583,0.025,0.0,True,-0.1083,0.0117,1e-06,True,0.2067,0.0427,0.0,True
latent_57,0.0856,0.0073,7.5e-05,True,0.1464,0.0214,0.0,True,-0.0314,0.001,0.146689,False
latent_63,-0.0343,0.0012,0.112817,False,0.0737,0.0054,0.000654,False,-0.0336,0.0011,0.120143,False
latent_66,-0.2001,0.04,0.0,True,0.2615,0.0684,0.0,True,0.1111,0.0124,0.0,True
latent_69,0.0402,0.0016,0.062972,False,-0.0007,0.0,0.973147,False,-0.3401,0.1157,0.0,True
latent_70,0.2072,0.0429,0.0,True,0.0243,0.0006,0.261034,False,-0.1171,0.0137,0.0,True
latent_76,0.1234,0.0152,0.0,True,-0.0574,0.0033,0.008005,False,-0.094,0.0088,1.4e-05,True
latent_79,0.0979,0.0096,6e-06,True,-0.0548,0.003,0.011361,False,0.0818,0.0067,0.000156,True
latent_82,0.1907,0.0364,0.0,True,0.0436,0.0019,0.043988,False,0.09,0.0081,3.1e-05,True
latent_83,0.0991,0.0098,5e-06,True,-0.3071,0.0943,0.0,True,-0.1174,0.0138,0.0,True
