dimension,SBR_XING_PC1_r,SBR_XING_PC1_r2,SBR_XING_PC1_p,SBR_XING_PC1_sig,SBR_XING_PC2_r,SBR_XING_PC2_r2,SBR_XING_PC2_p,SBR_XING_PC2_sig,SBR_XING_PC3_r,SBR_XING_PC3_r2,SBR_XING_PC3_p,SBR_XING_PC3_sig
latent_85,-0.0963,0.0093,8e-06,True,-0.0711,0.0051,0.001008,False,0.1413,0.02,0.0,True
latent_86,-0.0045,0.0,0.836797,False,0.0135,0.0002,0.532814,False,-0.1807,0.0326,0.0,True
latent_90,0.1149,0.0132,0.0,True,0.1875,0.0352,0.0,True,-0.0076,0.0001,0.724545,False
latent_91,0.018,0.0003,0.404804,False,-0.1649,0.0272,0.0,True,-0.073,0.0053,0.000738,False
latent_95,0.0072,0.0001,0.741025,False,0.2105,0.0443,0.0,True,-0.0569,0.0032,0.008585,False
latent_98,-0.1033,0.0107,2e-06,True,-0.0867,0.0075,6.1e-05,True,0.0386,0.0015,0.074582,False
latent_99,0.1169,0.0137,0.0,True,-0.2068,0.0428,0.0,True,0.0667,0.0045,0.00204,False
latent_101,-0.0337,0.0011,0.119063,False,0.0202,0.0004,0.350677,False,-0.0919,0.0084,2.1e-05,True
latent_102,0.2043,0.0417,0.0,True,-0.0295,0.0009,0.172294,False,-0.0878,0.0077,4.8e-05,True
latent_106,-0.152,0.0231,0.0,True,0.5352,0.2864,0.0,True,-0.0452,0.002,0.036604,False
latent_110,-0.0011,0.0,0.960008,False,-0.0745,0.0056,0.000568,False,-0.0419,0.0018,0.052999,False
latent_111,-0.1149,0.0132,0.0,True,-0.0062,0.0,0.773065,False,0.0872,0.0076,5.5e-05,True
latent_112,0.225,0.0506,0.0,True,0.1006,0.0101,3e-06,True,0.0345,0.0012,0.11064,False
latent_113,0.3,0.09,0.0,True,-0.2545,0.0648,0.0,True,0.4331,0.1875,0.0,True
latent_114,-0.1418,0.0201,0.0,True,-0.6598,0.4354,0.0,True,-0.0267,0.0007,0.216773,False
latent_116,0.0146,0.0002,0.499008,False,0.1898,0.036,0.0,True,-0.023,0.0005,0.288807,False
latent_117,-0.0404,0.0016,0.06219,False,-0.0433,0.0019,0.045336,False,-0.0062,0.0,0.775661,False
latent_119,-0.0759,0.0058,0.000449,True,-0.0008,0.0,0.970643,False,-0.0787,0.0062,0.000274,True
latent_120,-0.0794,0.0063,0.00024,True,0.0885,0.0078,4.2e-05,True,-0.0433,0.0019,0.04553,False
latent_121,0.1557,0.0242,0.0,True,0.0432,0.0019,0.045798,False,-0.0178,0.0003,0.41045,False
latent_124,-0.0018,0.0,0.933982,False,-0.0075,0.0001,0.729484,False,0.0602,0.0036,0.005392,False
latent_129,0.0287,0.0008,0.185328,False,-0.0146,0.0002,0.499509,False,0.021,0.0004,0.332406,False
latent_132,-0.9007,0.8113,0.0,True,-0.3695,0.1365,0.0,True,0.0309,0.001,0.153798,False
latent_133,0.0653,0.0043,0.002531,False,0.0094,0.0001,0.662721,False,0.2842,0.0808,0.0,True
latent_141,0.0617,0.0038,0.004342,False,-0.4322,0.1868,0.0,True,-0.2323,0.054,0.0,True
latent_145,0.1051,0.011,1e-06,True,0.2345,0.055,0.0,True,0.244,0.0595,0.0,True
latent_146,-0.0134,0.0002,0.536342,False,0.1799,0.0324,0.0,True,-0.0436,0.0019,0.044101,False
latent_147,-0.22,0.0484,0.0,True,-0.1952,0.0381,0.0,True,0.2678,0.0717,0.0,True
latent_150,0.543,0.2948,0.0,True,0.3295,0.1085,0.0,True,0.0054,0.0,0.804424,False
latent_151,0.4072,0.1658,0.0,True,-0.0186,0.0003,0.391203,False,0.2923,0.0855,0.0,True
latent_156,0.097,0.0094,7e-06,True,-0.0322,0.001,0.137049,False,0.0261,0.0007,0.228042,False
latent_162,-0.021,0.0004,0.332009,False,0.0419,0.0018,0.052854,False,-0.0793,0.0063,0.000245,True
latent_163,0.0539,0.0029,0.012753,False,0.1681,0.0283,0.0,True,0.0113,0.0001,0.601418,False
latent_167,-0.0088,0.0001,0.683152,False,0.0359,0.0013,0.097181,False,-0.0531,0.0028,0.014141,False
latent_169,0.0857,0.0073,7.3e-05,True,-0.0804,0.0065,0.0002,True,-0.0339,0.0011,0.117419,False
latent_171,-0.1482,0.022,0.0,True,-0.0447,0.002,0.038778,False,0.1643,0.027,0.0,True
latent_173,0.1264,0.016,0.0,True,-0.1996,0.0398,0.0,True,-0.6381,0.4072,0.0,True
latent_175,-0.0768,0.0059,0.000383,True,-0.0222,0.0005,0.304864,False,-0.0654,0.0043,0.002482,False
latent_176,-0.0914,0.0084,2.3e-05,True,-0.0283,0.0008,0.190558,False,-0.0954,0.0091,1e-05,True
latent_180,-0.0585,0.0034,0.006871,False,-0.0358,0.0013,0.098225,False,-0.1325,0.0176,0.0,True
latent_183,0.0239,0.0006,0.270073,False,0.1345,0.0181,0.0,True,0.0071,0.0,0.744343,False
latent_185,0.0444,0.002,0.040297,False,0.0878,0.0077,4.9e-05,True,-0.1013,0.0103,3e-06,True
latent_188,0.012,0.0001,0.580346,False,0.0435,0.0019,0.044502,False,-0.079,0.0062,0.00026,True
latent_192,0.1308,0.0171,0.0,True,-0.1816,0.033,0.0,True,0.0295,0.0009,0.173457,False
latent_195,0.0555,0.0031,0.010276,False,0.0221,0.0005,0.307907,False,0.2863,0.082,0.0,True
latent_196,-0.0031,0.0,0.88741,False,-0.0034,0.0,0.875797,False,-0.1402,0.0197,0.0,True
latent_197,0.0133,0.0002,0.538818,False,0.0339,0.0011,0.11764,False,-0.2492,0.0621,0.0,True
latent_198,-0.0217,0.0005,0.315479,False,0.0397,0.0016,0.066617,False,-0.1486,0.0221,0.0,True
latent_200,0.0578,0.0033,0.007568,False,0.133,0.0177,0.0,True,0.0419,0.0018,0.052981,False
latent_201,0.0435,0.0019,0.044612,False,0.0546,0.003,0.011572,False,0.0018,0.0,0.935384,False
latent_203,0.1074,0.0115,1e-06,True,0.0859,0.0074,7.1e-05,True,0.0438,0.0019,0.042902,False
latent_205,0.0257,0.0007,0.235603,False,0.0147,0.0002,0.497317,False,-0.0279,0.0008,0.197517,False
latent_206,-0.1433,0.0205,0.0,True,0.1436,0.0206,0.0,True,-0.4252,0.1808,0.0,True
latent_211,0.0484,0.0023,0.025208,False,0.0784,0.0061,0.00029,True,-0.0359,0.0013,0.096863,False
latent_214,-0.0452,0.002,0.036597,False,0.25,0.0625,0.0,True,-0.0538,0.0029,0.012852,False
latent_216,-0.0386,0.0015,0.074884,False,0.1852,0.0343,0.0,True,0.2474,0.0612,0.0,True
latent_218,-0.0178,0.0003,0.410221,False,0.0219,0.0005,0.310712,False,-0.4876,0.2378,0.0,True
latent_221,0.1889,0.0357,0.0,True,0.0597,0.0036,0.005753,False,0.0281,0.0008,0.194431,False
latent_222,-0.126,0.0159,0.0,True,-0.1479,0.0219,0.0,True,-0.049,0.0024,0.023434,False
latent_225,-0.5007,0.2507,0.0,True,-0.3145,0.0989,0.0,True,-0.0003,0.0,0.987137,False
latent_227,-0.1349,0.0182,0.0,True,0.1249,0.0156,0.0,True,0.112,0.0126,0.0,True
latent_228,-0.1573,0.0248,0.0,True,0.1597,0.0255,0.0,True,-0.1952,0.0381,0.0,True
latent_229,-0.0279,0.0008,0.197061,False,-0.1032,0.0107,2e-06,True,0.0233,0.0005,0.282277,False
latent_232,-0.2091,0.0437,0.0,True,0.1729,0.0299,0.0,True,0.2578,0.0665,0.0,True
latent_234,-0.1005,0.0101,3e-06,True,-0.1197,0.0143,0.0,True,-0.0868,0.0075,5.9e-05,True
latent_235,-0.0708,0.005,0.001057,False,-0.0205,0.0004,0.343167,False,-0.0226,0.0005,0.296656,False
latent_238,-0.107,0.0115,1e-06,True,0.1319,0.0174,0.0,True,-0.2045,0.0418,0.0,True
latent_241,0.081,0.0066,0.000178,True,-0.1116,0.0125,0.0,True,-0.2642,0.0698,0.0,True
latent_245,0.0305,0.0009,0.159458,False,0.1998,0.0399,0.0,True,-0.0077,0.0001,0.721913,False
latent_250,-0.0786,0.0062,0.000278,True,-0.1144,0.0131,0.0,True,-0.1082,0.0117,1e-06,True
latent_251,0.055,0.003,0.011045,False,-0.0435,0.0019,0.044599,False,-0.0535,0.0029,0.013445,False
latent_253,-0.0344,0.0012,0.112148,False,0.0095,0.0001,0.659369,False,0.0297,0.0009,0.170402,False
latent_254,0.0491,0.0024,0.023269,False,0.0355,0.0013,0.100867,False,0.1256,0.0158,0.0,True
