dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_47,0.0223,0.0005,0.216157,False,-0.0116,0.0001,0.563741,False,0.0259,0.0007,0.164089,False,0.0399,0.0016,0.100952,False,0.0052,5.8e-05,True,0.0006,0.427207,False,0.0014,0.356656,False
latent_48,-0.0343,0.0012,0.056829,False,-0.0198,0.0004,0.321988,False,0.0018,0.0,0.922819,False,0.0246,0.0006,0.312241,False,0.007,3e-06,True,0.0007,0.352293,False,0.002,0.194128,False
latent_51,-0.17,0.0289,0.0,True,-0.0933,0.0087,3e-06,True,0.045,0.002,0.015615,False,-0.0401,0.0016,0.099154,False,0.0187,0.0,True,0.0002,0.746068,False,0.0065,0.000432,True
latent_55,-0.0273,0.0007,0.130397,False,-0.0793,0.0063,7.2e-05,True,0.0474,0.0022,0.01085,False,-0.0279,0.0008,0.251549,False,0.0023,0.008185,False,0.001,0.226858,False,0.007,0.000256,True
latent_56,-0.0423,0.0018,0.019018,False,-0.0798,0.0064,6.4e-05,True,0.0013,0.0,0.942304,False,-0.0375,0.0014,0.122857,False,0.002,0.013713,False,0.0023,0.030931,False,0.0063,0.000699,False
latent_57,-0.0529,0.0028,0.003292,False,-0.0233,0.0005,0.243394,False,0.0573,0.0033,0.002073,False,0.0054,0.0,0.823107,False,0.0078,1e-06,True,0.0002,0.771255,False,0.0051,0.003766,False
latent_63,0.0002,0.0,0.991365,False,0.0327,0.0011,0.102617,False,0.0187,0.0003,0.315769,False,-0.0211,0.0004,0.386487,False,0.0051,6.9e-05,True,0.0008,0.271748,False,0.0026,0.087806,False
latent_66,-0.2072,0.043,0.0,True,0.0166,0.0003,0.407684,False,0.0717,0.0051,0.000116,True,-0.0231,0.0005,0.341538,False,0.0082,0.0,True,0.0036,0.004074,False,0.0072,0.001332,False
latent_69,-0.0906,0.0082,0.0,True,-0.1253,0.0157,0.0,True,0.0817,0.0067,1.1e-05,True,0.0175,0.0003,0.472721,False,0.008,1e-06,True,0.0021,0.03815,False,0.0154,0.0,True
latent_70,0.0053,0.0,0.770618,False,-0.0552,0.003,0.005806,False,0.0144,0.0002,0.439533,False,-0.0303,0.0009,0.213389,False,0.0179,0.0,True,0.0021,0.036734,False,0.0042,0.010154,False
