dimension,SBR_XING_PC1_r,SBR_XING_PC1_r2,SBR_XING_PC1_p,SBR_XING_PC1_sig,SBR_XING_PC2_r,SBR_XING_PC2_r2,SBR_XING_PC2_p,SBR_XING_PC2_sig,SBR_XING_PC3_r,SBR_XING_PC3_r2,SBR_XING_PC3_p,SBR_XING_PC3_sig
latent_201,0.0423,0.0018,0.050523,False,0.0297,0.0009,0.170487,False,-0.032,0.001,0.139291,False
latent_203,0.0387,0.0015,0.073605,False,0.0503,0.0025,0.020232,False,-0.0121,0.0001,0.577656,False
latent_205,-0.0156,0.0002,0.470297,False,-0.0224,0.0005,0.29983,False,-0.0271,0.0007,0.210828,False
latent_206,-0.1161,0.0135,0.0,True,0.0981,0.0096,6e-06,True,-0.0454,0.0021,0.036103,False
latent_208,-0.058,0.0034,0.007309,False,0.0778,0.006,0.000322,True,-0.0116,0.0001,0.593412,False
latent_214,-0.0494,0.0024,0.022363,False,0.2141,0.0458,0.0,True,-0.0349,0.0012,0.107004,False
latent_216,-0.0254,0.0006,0.240705,False,0.1293,0.0167,0.0,True,0.0055,0.0,0.801211,False
latent_218,-0.0673,0.0045,0.001852,False,-0.0225,0.0005,0.298191,False,0.0122,0.0001,0.572535,False
latent_222,-0.0155,0.0002,0.474815,False,-0.1241,0.0154,0.0,True,-0.0314,0.001,0.146515,False
latent_225,-0.3827,0.1464,0.0,True,-0.2286,0.0523,0.0,True,0.0127,0.0002,0.557409,False
latent_227,-0.1628,0.0265,0.0,True,0.1101,0.0121,0.0,True,0.0119,0.0001,0.583532,False
latent_228,-0.0776,0.006,0.000333,True,0.0716,0.0051,0.00093,False,0.0177,0.0003,0.412864,False
latent_229,-0.0266,0.0007,0.219002,False,-0.0687,0.0047,0.001484,False,-0.035,0.0012,0.105647,False
latent_232,-0.1264,0.016,0.0,True,0.1183,0.014,0.0,True,0.0344,0.0012,0.111654,False
