dimension,SBR_XING_PC1_r,SBR_XING_PC1_r2,SBR_XING_PC1_p,SBR_XING_PC1_sig,SBR_XING_PC2_r,SBR_XING_PC2_r2,SBR_XING_PC2_p,SBR_XING_PC2_sig,SBR_XING_PC3_r,SBR_XING_PC3_r2,SBR_XING_PC3_p,SBR_XING_PC3_sig
latent_2,0.0033,0.0,0.880104,False,-0.1389,0.0193,0.0,True,-0.0951,0.009,1.1e-05,True
latent_3,0.0227,0.0005,0.29388,False,-0.2046,0.0419,0.0,True,-0.1179,0.0139,0.0,True
latent_7,-0.0849,0.0072,8.6e-05,True,0.1442,0.0208,0.0,True,0.3243,0.1051,0.0,True
latent_8,-0.0347,0.0012,0.109453,False,0.0387,0.0015,0.073546,False,0.0214,0.0005,0.322908,False
latent_10,0.0451,0.002,0.037117,False,0.0088,0.0001,0.683872,False,-0.0809,0.0065,0.000183,True
latent_14,0.0187,0.0003,0.389011,False,0.0278,0.0008,0.199607,False,0.007,0.0,0.746989,False
latent_15,-0.263,0.0692,0.0,True,0.3861,0.149,0.0,True,-0.2897,0.0839,0.0,True
latent_20,0.0494,0.0024,0.022451,False,-0.0695,0.0048,0.001303,False,-0.0452,0.002,0.036791,False
latent_26,-0.112,0.0125,0.0,True,-0.1192,0.0142,0.0,True,0.1748,0.0306,0.0,True
latent_31,-0.0388,0.0015,0.073179,False,-0.0727,0.0053,0.000771,True,-0.2179,0.0475,0.0,True
latent_41,-0.1119,0.0125,0.0,True,-0.1781,0.0317,0.0,True,-0.225,0.0506,0.0,True
latent_51,0.024,0.0006,0.267754,False,0.1238,0.0153,0.0,True,-0.0549,0.003,0.011124,False
latent_55,0.0459,0.0021,0.033846,False,-0.0839,0.007,0.000103,True,0.1261,0.0159,0.0,True
latent_66,-0.1441,0.0208,0.0,True,0.1275,0.0163,0.0,True,0.0332,0.0011,0.125086,False
latent_69,0.0352,0.0012,0.104403,False,-0.0547,0.003,0.011533,False,-0.2018,0.0407,0.0,True
latent_70,0.0419,0.0018,0.052754,False,-0.0403,0.0016,0.062344,False,-0.0265,0.0007,0.220126,False
latent_83,0.0224,0.0005,0.300725,False,-0.0069,0.0,0.750612,False,-0.0435,0.0019,0.044577,False
latent_85,0.0047,0.0,0.827091,False,0.0026,0.0,0.904661,False,0.1507,0.0227,0.0,True
latent_86,-0.0008,0.0,0.969207,False,0.0251,0.0006,0.246608,False,-0.0035,0.0,0.870533,False
latent_106,-0.1791,0.0321,0.0,True,0.5153,0.2655,0.0,True,0.0639,0.0041,0.003129,False
latent_113,0.0967,0.0093,8e-06,True,-0.1816,0.033,0.0,True,0.4796,0.2301,0.0,True
latent_114,0.0038,0.0,0.862369,False,-0.5873,0.3449,0.0,True,-0.0447,0.002,0.038869,False
latent_116,0.0288,0.0008,0.182938,False,0.082,0.0067,0.000149,True,-0.0937,0.0088,1.5e-05,True
latent_129,0.0565,0.0032,0.009041,False,-0.0496,0.0025,0.021803,False,-0.015,0.0002,0.488013,False
latent_132,-0.9065,0.8218,0.0,True,-0.3753,0.1408,0.0,True,0.0457,0.0021,0.03467,False
latent_133,0.0016,0.0,0.939671,False,-0.0124,0.0002,0.565664,False,0.1869,0.0349,0.0,True
latent_141,-0.0041,0.0,0.850758,False,-0.4119,0.1697,0.0,True,-0.1756,0.0308,0.0,True
latent_145,0.0881,0.0078,4.6e-05,True,0.0402,0.0016,0.063289,False,0.1502,0.0226,0.0,True
latent_150,0.629,0.3957,0.0,True,0.3582,0.1283,0.0,True,-0.0368,0.0014,0.089521,False
latent_151,0.2138,0.0457,0.0,True,0.055,0.003,0.010965,False,0.2748,0.0755,0.0,True
latent_162,-0.0917,0.0084,2.2e-05,True,0.0106,0.0001,0.62594,False,-0.158,0.025,0.0,True
latent_163,0.0204,0.0004,0.345209,False,0.0867,0.0075,6e-05,True,-0.024,0.0006,0.26862,False
latent_171,-0.1172,0.0137,0.0,True,-0.0571,0.0033,0.008289,False,0.0731,0.0053,0.000724,True
latent_173,0.0323,0.001,0.135875,False,-0.1236,0.0153,0.0,True,-0.6071,0.3686,0.0,True
latent_192,0.0931,0.0087,1.6e-05,True,-0.1661,0.0276,0.0,True,-0.0619,0.0038,0.004227,False
latent_195,0.04,0.0016,0.06467,False,0.0812,0.0066,0.000174,True,0.2396,0.0574,0.0,True
latent_197,-0.076,0.0058,0.000437,True,0.0384,0.0015,0.07608,False,-0.3104,0.0964,0.0,True
latent_201,-0.0077,0.0001,0.721627,False,0.0833,0.0069,0.000117,True,0.0137,0.0002,0.527105,False
latent_206,-0.0493,0.0024,0.022653,False,0.1555,0.0242,0.0,True,-0.2474,0.0612,0.0,True
latent_214,-0.0321,0.001,0.138688,False,0.2452,0.0601,0.0,True,0.016,0.0003,0.46072,False
latent_218,0.0366,0.0013,0.09088,False,-0.0289,0.0008,0.181926,False,-0.4449,0.1979,0.0,True
latent_222,-0.0852,0.0073,8.1e-05,True,-0.1076,0.0116,1e-06,True,-0.1893,0.0358,0.0,True
latent_225,-0.0515,0.0027,0.017331,False,0.0614,0.0038,0.004528,False,0.3038,0.0923,0.0,True
latent_227,-0.0749,0.0056,0.000531,True,0.0624,0.0039,0.00392,False,0.0445,0.002,0.039859,False
latent_228,-0.1195,0.0143,0.0,True,0.1456,0.0212,0.0,True,-0.2275,0.0518,0.0,True
latent_232,-0.1732,0.03,0.0,True,0.2702,0.073,0.0,True,0.2407,0.058,0.0,True
latent_238,-0.033,0.0011,0.12794,False,-0.0641,0.0041,0.003023,False,-0.268,0.0718,0.0,True
latent_241,0.0267,0.0007,0.217215,False,-0.043,0.0019,0.046845,False,-0.2893,0.0837,0.0,True
latent_245,0.0115,0.0001,0.595761,False,0.148,0.0219,0.0,True,-0.2133,0.0455,0.0,True
latent_253,0.0082,0.0001,0.703443,False,-0.01,0.0001,0.645009,False,0.004,0.0,0.852201,False
