dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,BradyRig_Total_r,BradyRig_Total_r2,BradyRig_Total_p,BradyRig_Total_sig,Tremor_Total_r,Tremor_Total_r2,Tremor_Total_p,Tremor_Total_sig,AI_BradyRig_Diff_r,AI_BradyRig_Diff_r2,AI_BradyRig_Diff_p,AI_BradyRig_Diff_sig,AI_Tremor_Diff_r,AI_Tremor_Diff_r2,AI_Tremor_Diff_p,AI_Tremor_Diff_sig,AI_BradyRig_Norm_r,AI_BradyRig_Norm_r2,AI_BradyRig_Norm_p,AI_BradyRig_Norm_sig,AI_Tremor_Norm_r,AI_Tremor_Norm_r2,AI_Tremor_Norm_p,AI_Tremor_Norm_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_19,-0.022,0.0005,0.22162,False,0.0193,0.0004,0.335124,False,0.0394,0.0016,0.034297,False,-0.0591,0.0035,0.003103,False,0.0222,0.0005,0.266271,False,0.0066,0.0,0.742411,False,-0.0658,0.0043,0.000993,False,-0.0596,0.0035,0.002894,False,-0.087,0.0076,1.3e-05,True,-0.075,0.0056,0.000173,True,0.0002,0.441693,False,0.0013,0.136379,False,0.0024,0.125079,False
latent_20,0.0201,0.0004,0.264402,False,-0.0977,0.0095,1e-06,True,-0.0472,0.0022,0.011194,False,0.1793,0.0321,0.0,True,-0.087,0.0076,1.3e-05,True,-0.0778,0.006,0.0001,True,0.2623,0.0688,0.0,True,0.2043,0.0417,0.0,True,0.2363,0.0559,0.0,True,0.2223,0.0494,0.0,True,0.0145,0.0,True,0.0009,0.23647,False,0.0136,0.0,True
latent_26,0.0303,0.0009,0.093058,False,-0.0136,0.0002,0.498335,False,0.0013,0.0,0.942878,False,-0.1465,0.0215,0.0,True,-0.0079,0.0001,0.691434,False,-0.0031,0.0,0.877698,False,-0.183,0.0335,0.0,True,-0.1791,0.0321,0.0,True,-0.1706,0.0291,0.0,True,-0.1763,0.0311,0.0,True,0.0008,0.120029,False,0.0008,0.31388,False,0.0024,0.11154,False
latent_29,-0.0445,0.002,0.013615,False,-0.0147,0.0002,0.464007,False,-0.016,0.0003,0.389004,False,-0.0388,0.0015,0.052514,False,-0.0044,0.0,0.82607,False,-0.0503,0.0025,0.011988,False,0.0002,0.0,0.993534,False,-0.0102,0.0001,0.611425,False,0.0188,0.0004,0.34763,False,-0.005,0.0,0.803371,False,0.0003,0.310899,False,0.0003,0.646972,False,0.0072,0.000428,True
latent_31,0.0747,0.0056,3.3e-05,True,0.0918,0.0084,4e-06,True,-0.0317,0.001,0.089134,False,0.0714,0.0051,0.000357,True,0.0876,0.0077,1.2e-05,True,0.0301,0.0009,0.133007,False,0.0967,0.0093,1e-06,True,0.0889,0.0079,9e-06,True,0.0548,0.003,0.006167,False,0.0921,0.0085,4e-06,True,0.0015,0.030583,False,0.0006,0.42328,False,0.0113,2e-06,True
latent_34,-0.1003,0.0101,0.0,True,-0.0484,0.0023,0.015433,False,0.0478,0.0023,0.010187,False,-0.091,0.0083,5e-06,True,-0.0073,0.0001,0.716991,False,-0.0772,0.006,0.000111,True,-0.0628,0.0039,0.001697,False,-0.0648,0.0042,0.001184,False,-0.0621,0.0039,0.001884,False,-0.046,0.0021,0.021381,False,0.0109,0.0,True,0.0033,0.006546,False,0.0045,0.008353,False
latent_35,0.003,0.0,0.86868,False,0.0689,0.0047,0.000569,False,0.0059,0.0,0.751648,False,-0.0079,0.0001,0.692662,False,0.0627,0.0039,0.001725,False,0.0315,0.001,0.115994,False,-0.009,0.0001,0.651867,False,0.0169,0.0003,0.397279,False,-0.0209,0.0004,0.295275,False,0.0034,0.0,0.863473,False,0.0003,0.367191,False,0.0001,0.863669,False,0.0035,0.06177,False
latent_38,-0.0647,0.0042,0.000326,True,-0.0086,0.0001,0.668181,False,0.0586,0.0034,0.001621,False,0.0054,0.0,0.785881,False,-0.0075,0.0001,0.70941,False,0.0093,0.0001,0.640697,False,-0.0191,0.0004,0.339417,False,0.0013,0.0,0.949267,False,-0.0208,0.0004,0.299466,False,-0.0032,0.0,0.872703,False,0.0015,0.033483,False,0.0017,0.067937,False,0.0021,0.242188,False
latent_41,0.132,0.0174,0.0,True,-0.0329,0.0011,0.09994,False,-0.0141,0.0002,0.447524,False,0.2295,0.0527,0.0,True,-0.0625,0.0039,0.001765,False,0.0334,0.0011,0.094904,False,0.2583,0.0667,0.0,True,0.2073,0.043,0.0,True,0.2459,0.0604,0.0,True,0.2254,0.0508,0.0,True,0.0301,0.0,True,0.0001,0.924124,False,0.0073,6.1e-05,True
latent_47,0.0181,0.0003,0.313962,False,0.0072,0.0001,0.717547,False,0.0266,0.0007,0.153516,False,0.091,0.0083,5e-06,True,-0.0087,0.0001,0.664558,False,0.042,0.0018,0.035565,False,0.0701,0.0049,0.000456,True,0.0751,0.0056,0.000172,True,0.0618,0.0038,0.002004,False,0.0727,0.0053,0.000278,True,0.0254,0.0,True,0.002,0.048354,False,0.0016,0.275455,False
