dimension,peta2_scanner,peta2_biological,p_scanner,p_biological,category
latent_2,,0.0072,,4.8e-05,Neither
latent_7,,0.0151,,0.0,Neither
latent_15,,0.0179,,0.0,Neither
latent_26,,0.0002,,0.559251,Neither
latent_31,,0.0046,,0.004031,Neither
latent_41,,0.0011,,0.067234,Neither
latent_51,,0.0725,,0.0,Biological
latent_55,,0.0013,,0.158086,Neither
latent_66,,0.0335,,0.0,Neither
latent_70,,0.0064,,2.2e-05,Neither
latent_83,,0.0466,,0.0,Neither
latent_85,,0.0103,,2e-06,Neither
latent_106,,0.0162,,0.0,Neither
latent_113,,0.002,,0.025046,Neither
latent_114,,0.1447,,0.0,Biological
latent_116,,0.0228,,0.0,Neither
latent_129,,0.0013,,0.106975,Neither
latent_132,,0.0187,,0.0,Neither
latent_133,,0.0115,,0.0,Neither
latent_141,,0.0267,,0.0,Neither
latent_150,,0.0014,,0.092013,Neither
latent_162,,0.0041,,0.000607,Neither
latent_163,,0.0026,,0.005277,Neither
latent_171,,0.0185,,0.0,Neither
latent_173,,0.0132,,5e-06,Neither
latent_192,,0.0226,,0.0,Neither
latent_197,,0.0006,,0.175817,Neither
latent_206,,0.0187,,0.0,Neither
latent_214,,0.0274,,0.0,Neither
latent_218,,0.0089,,5e-06,Neither
latent_222,,0.0497,,0.0,Neither
latent_228,,0.0025,,0.034371,Neither
latent_232,,0.0062,,1.2e-05,Neither
latent_245,,0.0036,,0.01031,Neither
