dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_2,0.075,0.0056,3.1e-05,True,0.0004,0.0,0.985384,False,-0.0263,0.0007,0.158063,False,-0.0274,0.0007,0.171254,False,0.0021,0.010856,False,0.0007,0.33438,False,0.0029,0.065935,False
latent_7,-0.0741,0.0055,3.8e-05,True,0.0119,0.0001,0.552822,False,0.0065,0.0,0.727191,False,-0.0543,0.003,0.006603,False,0.0109,0.0,True,0.0006,0.398946,False,0.0023,0.127674,False
latent_15,-0.1334,0.0178,0.0,True,0.1323,0.0175,0.0,True,0.0007,0.0,0.970808,False,0.0063,0.0,0.752748,False,0.0006,0.160024,False,0.0012,0.163036,False,0.0301,0.0,True
latent_26,0.0078,0.0001,0.664375,False,-0.0278,0.0008,0.164154,False,0.0151,0.0002,0.416552,False,-0.0075,0.0001,0.709241,False,0.0001,0.547055,False,0.0006,0.380281,False,0.0035,0.027443,False
latent_31,0.0499,0.0025,0.005575,False,0.0474,0.0022,0.017849,False,0.0142,0.0002,0.447323,False,0.0137,0.0002,0.492121,False,0.0017,0.021366,False,0.0001,0.900679,False,0.004,0.015772,False
latent_41,-0.0068,0.0,0.7076,False,-0.0767,0.0059,0.000125,True,0.0576,0.0033,0.001976,False,-0.0017,0.0,0.932843,False,0.0011,0.065062,False,0.0013,0.127352,False,0.0095,4e-06,True
latent_51,-0.2168,0.047,0.0,True,-0.0839,0.007,2.6e-05,True,0.063,0.004,0.000703,True,-0.0551,0.003,0.005856,False,0.0316,0.0,True,0.0015,0.092341,False,0.0068,0.000233,True
latent_55,-0.0265,0.0007,0.140724,False,0.0145,0.0002,0.468174,False,0.0676,0.0046,0.000278,True,-0.019,0.0004,0.342643,False,0.0007,0.142851,False,0.0021,0.037342,False,0.0018,0.219121,False
latent_66,-0.103,0.0106,0.0,True,-0.011,0.0001,0.581427,False,0.0481,0.0023,0.009709,False,-0.0146,0.0002,0.466167,False,0.0203,0.0,True,0.0027,0.015932,False,0.0028,0.128121,False
latent_70,0.0207,0.0004,0.250073,False,-0.0091,0.0001,0.650051,False,-0.0166,0.0003,0.37181,False,-0.0474,0.0022,0.017848,False,0.0057,2.8e-05,True,0.0014,0.10726,False,0.0015,0.351699,False
latent_83,0.1527,0.0233,0.0,True,0.0671,0.0045,0.000789,True,-0.0794,0.0063,1.9e-05,True,0.0581,0.0034,0.003669,False,0.0273,0.0,True,0.0015,0.103165,False,0.002,0.193206,False
latent_85,0.0885,0.0078,1e-06,True,0.1385,0.0192,0.0,True,-0.0537,0.0029,0.003894,False,-0.0124,0.0002,0.5369,False,0.0033,0.001405,True,0.0,0.953706,False,0.0223,0.0,True
latent_106,-0.1202,0.0144,0.0,True,0.0111,0.0001,0.579501,False,0.0644,0.0042,0.000534,True,-0.019,0.0004,0.343058,False,0.0028,0.003233,False,0.0004,0.574975,False,0.0026,0.210161,False
latent_113,0.0179,0.0003,0.319985,False,-0.0001,0.0,0.997308,False,-0.0141,0.0002,0.447704,False,-0.018,0.0003,0.368663,False,0.0016,0.028111,False,0.0016,0.082673,False,0.0011,0.552654,False
latent_114,0.3196,0.1021,0.0,True,0.0402,0.0016,0.04453,False,-0.1218,0.0148,0.0,True,0.0372,0.0014,0.062963,False,0.0538,0.0,True,0.0027,0.016264,False,0.0136,0.0,True
latent_116,-0.0942,0.0089,0.0,True,-0.0595,0.0035,0.002935,False,0.0859,0.0074,4e-06,True,0.0012,0.0,0.953854,False,0.0158,0.0,True,0.003,0.010305,False,0.0039,0.014354,False
latent_129,0.0282,0.0008,0.117617,False,0.0163,0.0003,0.415859,False,-0.0422,0.0018,0.023417,False,-0.0247,0.0006,0.216175,False,0.0004,0.290422,False,0.0005,0.436562,False,0.0007,0.726794,False
latent_132,0.1234,0.0152,0.0,True,0.4352,0.1894,0.0,True,-0.1197,0.0143,0.0,True,-0.1034,0.0107,0.0,True,0.0048,0.000112,True,0.0006,0.406128,False,0.1797,0.0,True
latent_133,0.0028,0.0,0.874888,False,-0.0483,0.0023,0.0158,False,-0.0058,0.0,0.757371,False,-0.008,0.0001,0.690033,False,0.0114,0.0,True,0.0011,0.181989,False,0.0035,0.027494,False
latent_141,0.1636,0.0268,0.0,True,0.0723,0.0052,0.0003,True,-0.0888,0.0079,2e-06,True,0.0177,0.0003,0.377273,False,0.0002,0.456906,False,0.0011,0.178457,False,0.0066,0.000525,True
latent_150,-0.0294,0.0009,0.10245,False,-0.1111,0.0123,0.0,True,0.0377,0.0014,0.04265,False,0.0286,0.0008,0.153469,False,0.0004,0.244823,False,0.0007,0.362298,False,0.014,0.0,True
latent_162,0.0611,0.0037,0.000693,True,-0.0177,0.0003,0.37558,False,-0.0148,0.0002,0.426934,False,-0.0155,0.0002,0.438833,False,0.0002,0.443294,False,0.0001,0.872203,False,0.0015,0.397282,False
latent_163,0.0505,0.0026,0.005025,False,-0.0124,0.0002,0.534105,False,-0.0284,0.0008,0.127411,False,0.0237,0.0006,0.236853,False,0.0001,0.67656,False,0.0001,0.889836,False,0.0023,0.139951,False
latent_171,0.0287,0.0008,0.110861,False,-0.0487,0.0024,0.01497,False,-0.0355,0.0013,0.056386,False,-0.0295,0.0009,0.139899,False,0.0182,0.0,True,0.0004,0.544563,False,0.0038,0.039573,False
latent_173,0.0846,0.0072,3e-06,True,-0.105,0.011,0.0,True,-0.0543,0.0029,0.003523,False,0.0099,0.0001,0.619737,False,0.0072,2e-06,True,0.0005,0.498115,False,0.0226,0.0,True
latent_192,-0.1262,0.0159,0.0,True,-0.1077,0.0116,0.0,True,0.0421,0.0018,0.02357,False,-0.0661,0.0044,0.000945,True,0.0086,0.0,True,0.0026,0.017136,False,0.0262,0.0,True
latent_197,-0.0244,0.0006,0.175176,False,-0.0377,0.0014,0.059431,False,0.0248,0.0006,0.183748,False,0.0232,0.0005,0.245954,False,0.0,0.943609,False,0.0017,0.071811,False,0.0007,0.714,False
latent_206,0.0994,0.0099,0.0,True,0.1366,0.0187,0.0,True,-0.0681,0.0046,0.000252,True,0.0347,0.0012,0.082668,False,0.0105,0.0,True,0.0016,0.087535,False,0.0145,0.0,True
latent_214,-0.1553,0.0241,0.0,True,0.0818,0.0067,4.3e-05,True,0.0648,0.0042,0.000497,True,0.0187,0.0003,0.350227,False,0.005,8.4e-05,True,0.0015,0.101194,False,0.0117,0.0,True
latent_218,0.0842,0.0071,3e-06,True,-0.0406,0.0016,0.042555,False,-0.047,0.0022,0.011589,False,0.0199,0.0004,0.320175,False,0.0025,0.00586,False,0.0011,0.177423,False,0.0038,0.018427,False
latent_222,0.2165,0.0469,0.0,True,0.0945,0.0089,2e-06,True,-0.0713,0.0051,0.000126,True,0.0033,0.0,0.868292,False,0.0053,5.1e-05,True,0.0009,0.258104,False,0.0046,0.00456,False
latent_228,-0.0395,0.0016,0.028287,False,0.0084,0.0001,0.674148,False,0.0315,0.001,0.090324,False,0.002,0.0,0.920211,False,0.0011,0.062163,False,0.0001,0.800559,False,0.0049,0.004586,False
latent_232,-0.0787,0.0062,1.2e-05,True,0.0709,0.005,0.000391,True,0.0196,0.0004,0.292399,False,-0.0171,0.0003,0.391534,False,0.0,0.903572,False,0.0004,0.534289,False,0.0013,0.436795,False
latent_245,-0.0398,0.0016,0.0271,False,-0.0227,0.0005,0.25728,False,0.0332,0.0011,0.074358,False,-0.0009,0.0,0.965461,False,0.0023,0.007894,False,0.0002,0.748528,False,0.0021,0.274818,False
